repository_name,date,views,unique_visitors/cloners
github-traffic-stats,2017-07-16,1,1
github-traffic-stats,2017-07-17,10,2
github-traffic-stats,2017-07-19,11,4
github-traffic-stats,2017-07-20,12,5
github-traffic-stats,2017-07-21,3,3
github-traffic-stats,2017-07-22,1,1
github-traffic-stats,2017-07-23,1,1
github-traffic-stats,2017-07-24,17,6
github-traffic-stats,2017-07-25,32,5
github-traffic-stats,2017-07-26,1,1
github-traffic-stats,2017-07-27,1,1
github-traffic-stats,2017-07-28,6,4
github-traffic-stats,2017-07-29,26,5
github-traffic-stats,2017-07-30,3,1
